zi,chaizi
兰,⿱丷三
共,⿱龷八
兲,⿱王八
关,⿱丷天
兴,⿳𭕄一八
兵,⿱丘八
其,⿱⿴龷二八
具,⿱⿴𠀃三八
典,⿳⿻〢𠔼一八
兹,⿱丷𫠩
兺,⿱八𭇌
养,⿳䒑夫⿰丿丨
兼,⿱䒑⿻〢⿱⺕八
兽,⿱𬎿𠮛
兾,⿱丷異
兿,⿳䒑执云
冀,⿱北異
冁,⿰单展
冂,丨𠃌
冃,⿵冂二
冄,⿻冂二
内,⿻人冂
円,⿵冂丄
冇,⿸𠂇冂
冈,⿵冂乂
冉,丨⿴⿻冂一一
冊,⿻𦉫一
冋,⿵冂口
册,⿻⿰⺆⺆一
再,⿱一冉
冎,⿱⿵冂𠃍冂
冏,⿵冂㕣
冐,⿱冃⺝
冑,⿱由冃
冒,⿱冃目
冓,⿱𠀎冉
冔,⿱冃吁
冕,⿱冃免
冖,乛丶
冗,⿱冖几
冘,⿻⿸丿乚冖
写,⿱冖与
冚,⿱冖山
军,⿱冖车
农,⿸⿻丿冖𰀠
冝,⿱冖且
冞,⿱冖米
冟,⿱冖皀
冠,⿱冖㝴
冡,⿳冖二𧰨
冢,⿱冖豖
冣,⿱冖取
冤,⿱冖兔
冥,⿱冖昗
冦,⿱冖⿺元攴
冧,⿱冖林
冨,⿱冖畐
冩,⿱冖舄
冪,⿱冖幕
冫,⿱丶㇀
冬,⿱夂⺀
冭,⿱大⺀
冮,⿰冫工
冯,⿰冫马
冰,⿰冫水
冱,⿰冫互
冲,⿰冫中
决,⿰冫夬
冴,⿰冫牙
况,⿰冫兄
冶,⿰冫台
冷,⿰冫令
冸,⿰冫半
冹,⿰冫犮
冺,⿰冫民
冻,⿰冫东
冼,⿰冫先
冽,⿰冫列
冾,⿰冫合
冿,⿰冫聿
净,⿰冫争
凁,⿰冫束
凂,⿰冫免
凃,⿰冫余
凄,⿰冫妻
凅,⿰冫固
准,⿰冫隹
凇,⿰冫松
凈,⿰冫争
凉,⿰冫京
凊,⿰冫青
凋,⿰冫周
凌,⿰冫夌
凍,⿰冫東
凎,⿰冫金
减,⿰冫咸
凐,⿰冫垔
凑,⿰冫奏
凒,⿰冫豈
凓,⿰冫栗
凔,⿰冫倉
凕,⿰冫冥
凖,⿱准十
凗,⿰冫崔
凘,⿰冫斯
凙,⿰冫睪
凚,⿰冫禁
凛,⿰冫禀
凜,⿰冫稟
凝,⿰冫疑
凞,⿰冫熈
凟,⿰冫賣
几,丿㇈
凡,⿵几丶
凢,⿱丿几
凣,⿱丨几
凤,⿵几又
凥,⿸尸几
処,⿺夂几
凧,⿵几巾
凨,⿵几云
凩,⿵几木
凪,⿵几止
凫,⿳丿⿴𠃌㇉丶几
凬,⿵凡日
凭,⿱任几
凮,⿵几百
凯,⿰岂几
凰,⿵几皇
凱,⿰豈几
凲,⿵几兼
凳,⿱登几
凴,⿱馮几
凵,𠃊丨
凶,⿶凵乂
凷,⿶凵土
凸,丨㇎一丨一
凹,丨㇅丨𠃍一
出,⿱屮凵
击,⿱𰀁凵
凼,⿶凵水
函,了⿶凵⿰冫𡿨
凾,了⿶凵叹
凿,⿱业⿶凵𢆉
刀,⿹𠃌丿
刁,⿹𠃌㇀
刂,⿰丨亅
刃,⿹𠃌𬼀
刄,⿻刀乀
刅,⿰刃丶
分,⿱八刀
切,⿰七刀
刈,⿰乂刂
刉,⿰乞刂
刊,⿰干刂
刋,⿰千刂
刌,⿰寸刂
刍,⿱⺈𫜹
刎,⿰勿刂
刏,⿰气刂
刐,⿰丹刂
刑,⿰开刂
划,⿰戈刂
刓,⿰元刂
刔,⿰夬刂
刕,⿱刀𠚪
刖,⿰月刂
列,⿰歹刂
刘,⿰文刂
则,⿰贝刂
刚,⿰冈刂
创,⿰仓刂
刜,⿰弗刂
初,⿰衤刀
刞,⿰且刂
刟,⿰召刂
删,⿰册刂
刡,⿰民刂
刢,⿰令刂
刣,⿰台刂
判,⿰半刂
別,⿰𠮠刂
刦,⿰去刂
刧,⿰去刀
刨,⿰包刂
利,⿰禾刂
刪,⿰册刂
别,⿰另刂
刬,⿰戋刂
刭,⿰𢀖刂
刮,⿰舌刂
刯,⿰亘刂
到,⿰至刂
刱,⿰井刅
刲,⿰圭刂
刳,⿰夸刂
刴,⿰朶刂
刵,⿰耳刂
制,⿰⿻牛冂刂
刷,⿰𡰯刂
券,⿱龹刀
刹,⿰杀刂
刺,⿰朿刂
刻,⿰亥刂
刼,⿰去刃
刽,⿰会刂
刾,⿰夹刂
刿,⿰岁刂
剀,⿰岂刂
剁,⿰朵刂
剂,⿰齐刂
剃,⿰弟刂
剄,⿰巠刂
