z1,r,z2
躲,Semantic,躱
躳,Semantic,躬
躶,Semantic,裸
躷,Semantic,矮
軀,Simplified,躯
軂,Simplified,𬧤
軃,Simplified,𰹀
軄,Semantic,職
軆,Semantic,体
軇,Simplified,𮜶
軉,Simplified,𨉗
車,Simplified,车
軋,Simplified,轧
軌,Simplified,轨
軍,Simplified,军
軎,Simplified,𰹲
軏,Simplified,𫐄
軑,Simplified,轪
軒,Simplified,轩
軓,Simplified,𰹴
軔,Simplified,轫
軕,Simplified,𫐅
軖,Simplified,𰹶
軗,Simplified,𨐅
軘,Simplified,𰹸
軛,Simplified,轭
軜,Simplified,𫐇
軝,Simplified,𬨂
軞,Simplified,𬨁
軟,Semantic,輭
軟,Simplified,软
軤,Simplified,轷
軥,Simplified,𰺁
軧,Simplified,𰺀
軨,Simplified,𫐉
軫,Simplified,轸
軬,Simplified,𫐊
軮,Simplified,𬨄
軯,Simplified,𰹽
軰,Semantic,輩
軱,Simplified,𮝴
軲,Simplified,轱
軲,SpecializedSemantic,轂
軳,Simplified,𰺂
軵,Simplified,𰹿
軷,Simplified,𫐈
軸,Simplified,轴
軹,Simplified,轵
軺,Semantic,𨍳
軺,Simplified,轺
軻,Simplified,轲
軼,Simplified,轶
軾,Simplified,轼
軿,Simplified,𫐌
軿,Compat,輧
輀,Simplified,𮝵
輁,Simplified,𰺄
輂,Simplified,𰺅
較,Simplified,较
輄,Simplified,𨐈
輅,Simplified,辂
輆,Simplified,𬨇
輇,Simplified,辁
輈,Simplified,辀
載,Simplified,载
載,SpecializedSemantic,儎
輊,Simplified,轾
輋,Simplified,𪨶
輐,Simplified,𰺇
輑,Simplified,𰺈
輒,Semantic,輙
輒,Simplified,辄
輓,Simplified,挽
輓,Simplified,𬨈
輔,Simplified,辅
輕,Simplified,轻
輖,Simplified,𫐏
輗,Simplified,𫐐
輘,Simplified,𰺊
輙,Semantic,輒
輙,Simplified,𰺋
輚,Simplified,𰹼
輛,Simplified,辆
輜,Simplified,辎
輝,Semantic,煇
輝,Simplified,辉
輞,Simplified,辋
輟,Simplified,辍
輠,Simplified,𰺍
輡,Simplified,𰺐
輢,Simplified,𫐎
輣,Simplified,𰺏
輤,Simplified,𰺉
輥,Simplified,辊
輦,Simplified,辇
輦,SpecializedSemantic,襜
輧,Compat,軿
輨,Simplified,𫐑
輩,Semantic,軰
輩,Simplified,辈
輪,Simplified,轮
輫,Simplified,𰺎
輬,Simplified,辌
輭,Semantic,軟
輮,Simplified,𫐓
輯,Simplified,辑
輲,Simplified,𰺒
輳,Simplified,辏
輴,Simplified,𮝸
輵,Semantic,轕
輵,Simplified,𬨍
輶,Simplified,𬨎
輷,Simplified,𫐒
輸,Simplified,输
輹,Simplified,𰺓
輻,Simplified,辐
輾,Simplified,辗
輿,Semantic,轝
輿,Simplified,舆
轀,Simplified,辒
轂,Simplified,毂
轂,SpecializedSemantic,軲
轃,Simplified,𰺖
轄,Semantic,鎋
轄,Simplified,辖
轅,Simplified,辕
轆,Semantic,樚
轆,Simplified,辘
轇,Simplified,𫐖
轈,Simplified,𬨓
轉,Simplified,转
轊,Simplified,𫐕
轍,Simplified,辙
轎,Simplified,轿
轏,Simplified,𰺞
轐,Simplified,𫐗
轑,Simplified,𰺛
轒,Simplified,𮝷
轓,Simplified,𰺜
轔,Simplified,辚
轕,Semantic,輵
轕,Simplified,𮝺
轖,Simplified,𰺙
轗,Semantic,㙳
轗,Simplified,𫐘
轘,Simplified,𮝹
轙,Simplified,𰹵
轚,Simplified,𰺟
轛,Simplified,𰺃
轝,Semantic,輿
轝,Simplified,𬛼
轞,Simplified,𰺗
轟,Simplified,轰
轠,Simplified,𫐙
轡,Simplified,辔
轢,Simplified,轹
轣,Simplified,𫐆
轤,Simplified,轳
轥,Simplified,𰺣
车,Traditional,車
轧,Traditional,軋
轨,Traditional,軌
轩,Traditional,軒
轪,Traditional,軑
轫,Traditional,軔
转,Traditional,轉
轭,Traditional,軛
轮,Traditional,輪
软,Traditional,軟
轰,Traditional,轟
轱,Traditional,軲
轲,Traditional,軻
轳,Traditional,轤
轴,Traditional,軸
轵,Traditional,軹
轶,Traditional,軼
轷,Traditional,軤
轸,Traditional,軫
轹,Traditional,轢
轺,Traditional,軺
轻,Traditional,輕
轼,Traditional,軾
载,Traditional,載
轾,Traditional,輊
轿,Traditional,轎
辀,Traditional,輈
辁,Traditional,輇
辂,Traditional,輅
较,Traditional,較
辄,Traditional,輒
辅,Traditional,輔
辆,Traditional,輛
辇,Traditional,輦
辈,Traditional,輩
辉,Traditional,輝
辊,Traditional,輥
辋,Traditional,輞
辌,Traditional,輬
辍,Traditional,輟
辎,Traditional,輜
辏,Traditional,輳
辐,Traditional,輻
辑,Traditional,輯
辒,Traditional,轀
输,Traditional,輸
辔,Traditional,轡
辕,Traditional,轅
辖,Traditional,轄
辗,Traditional,輾
辘,Traditional,轆
辙,Traditional,轍
辚,Traditional,轔
辞,Semantic,辤
辞,Semantic,辭
辞,Traditional,辭
辟,Simplified,辟
辟,Traditional,辟
辟,Traditional,闢
辠,Semantic,罪
辢,Semantic,辣
辣,Semantic,辢
辤,Semantic,辞
辤,Semantic,辭
辦,Semantic,办
辦,Simplified,办
辨,Semantic,辯
辩,Traditional,辯
辫,Traditional,辮
辭,Semantic,辞
辭,Semantic,辤
辭,Simplified,辞
辮,Simplified,辫
辯,Semantic,辨
辯,Simplified,辩
農,Semantic,莀
農,Simplified,农
辵,Semantic,辶
辶,Semantic,辵
边,Semantic,邊
边,Traditional,邊
辽,Traditional,遼
达,Traditional,達
迁,Semantic,遷
迁,Traditional,遷
迆,SpecializedSemantic,迤
过,Semantic,過
过,Traditional,過
迈,Traditional,邁
迊,Semantic,匝
迊,Semantic,帀
运,Traditional,運
迕,Semantic,忤
还,Semantic,還
还,Traditional,還
这,Semantic,這
这,SpecializedSemantic,這
这,Traditional,這
进,Traditional,進
远,SpecializedSemantic,遠
远,Traditional,遠
违,Traditional,違
连,Traditional,連
迟,Traditional,遲
迤,SpecializedSemantic,迆
迨,Semantic,逮
迨,SpecializedSemantic,逮
迩,Semantic,邇
迩,Traditional,邇
迪,Semantic,廸
迫,Semantic,廹
迯,Semantic,逃
迳,Traditional,逕
迴,Semantic,廻
迴,Simplified,回
迹,Semantic,跡
迹,Semantic,蹟
迹,SpecializedSemantic,速
迹,Traditional,跡
迺,Semantic,乃
迺,Semantic,廼
迻,Semantic,移
适,Traditional,適
逃,Semantic,迯
选,Traditional,選
逊,Traditional,遜
递,Traditional,遞
逓,Semantic,遞
逕,Simplified,迳
逖,Semantic,逷
這,Semantic,这
這,Simplified,这
這,SpecializedSemantic,这
逞,SpecializedSemantic,期
速,SpecializedSemantic,跡
連,Simplified,连
逦,Traditional,邐
逮,Semantic,迨
逮,SpecializedSemantic,迨
週,Semantic,周
進,Simplified,进
逷,Semantic,逖
逻,Traditional,邏
逼,Semantic,偪
逾,Semantic,踰
逿,Simplified,𰺲
逿,SpecializedSemantic,盪
逿,SpecializedSemantic,𨌩
運,Simplified,运
遍,Semantic,徧
過,Semantic,过
過,Simplified,过
達,Simplified,达
違,Simplified,违
遗,Traditional,遺
遙,Simplified,遥
遜,Semantic,愻
遜,Simplified,逊
遞,Semantic,逓
遞,Simplified,递
遠,Simplified,远
遠,SpecializedSemantic,远
遡,Semantic,泝
遡,Semantic,溯
遥,Traditional,遙
適,Simplified,适
遭,Semantic,蹧
遰,Simplified,𰻆
遱,Simplified,𫐷
遲,Simplified,迟
遶,Semantic,繞
遶,Simplified,𰺷
遷,Semantic,迁
遷,Simplified,迁
選,Simplified,选
遺,Simplified,遗
遼,Simplified,辽
邁,Simplified,迈
還,Semantic,还
還,Simplified,还
邅,Semantic,㣶
邇,Semantic,迩
邇,Simplified,迩
邊,Semantic,边
邊,Simplified,边
邏,Simplified,逻
邐,Simplified,逦
邓,Traditional,鄧
邕,Semantic,雍
邕,Semantic,𪪝
邗,Spoofing,䢴
邝,Traditional,鄺
邠,Semantic,㟗
邠,Semantic,豳
邨,Semantic,村
邬,Traditional,鄔
邮,Traditional,郵
邹,Traditional,鄒
邺,Traditional,鄴
邻,Traditional,鄰
郁,Semantic,喐
郁,Traditional,鬱
郄,Semantic,郤
郎,Compat,郞
郏,Traditional,郟
郐,Traditional,鄶
郑,Traditional,鄭
郓,Traditional,鄆
郞,Compat,郎
郟,Simplified,郏
郤,Semantic,郄
郦,Traditional,酈
郧,Traditional,鄖
郰,Semantic,鄹
郲,Simplified,𬩾
郵,Simplified,邮
郷,Semantic,鄉
郷,Compat,鄉
郷,Compat,鄕
郸,Traditional,鄲
鄆,Simplified,郓
鄉,Semantic,郷
鄉,Semantic,鄕
鄉,Simplified,乡
鄉,Compat,郷
鄉,Compat,鄕
鄒,Simplified,邹
鄔,Semantic,塢
鄔,Simplified,邬
鄕,Semantic,鄉
鄕,Compat,郷
鄕,Compat,鄉
鄖,Simplified,郧
鄟,Simplified,𫑘
鄡,Simplified,𰻮
鄦,Simplified,𰻡
鄧,Simplified,邓
鄩,Simplified,𬩽
鄪,Simplified,𰻳
鄬,Simplified,𰻦
鄭,Simplified,郑
鄮,Simplified,𬪍
鄰,Semantic,隣
鄰,Simplified,邻
鄲,Simplified,郸
鄳,Simplified,𫑡
鄴,Simplified,邺
鄶,Simplified,郐
鄹,Semantic,郰
鄺,Simplified,邝
酂,Traditional,酇
酇,Simplified,酂
酈,Simplified,郦
酉,SpecializedSemantic,酋
酋,SpecializedSemantic,酉
酖,Semantic,鴆
酝,Traditional,醞
酢,SpecializedSemantic,榨
酦,Traditional,醱
酧,Semantic,酬
酧,Semantic,醻
酬,Semantic,酧
酬,Semantic,醻
酱,Traditional,醬
酹,SpecializedSemantic,儡
酽,Traditional,釅
酾,Traditional,釃
酿,Traditional,釀
醃,SpecializedSemantic,腌
醆,Simplified,𬪨
醇,Semantic,䣩
醊,Semantic,餟
醑,SpecializedSemantic,湑
醒,SpecializedSemantic,惺
醜,Simplified,丑
醞,Simplified,酝
醡,Semantic,榨
醡,SpecializedSemantic,詐
醦,Simplified,𮠳
醧,Simplified,𬪧
醩,Semantic,糟
醫,Semantic,医
醫,Simplified,医
醬,Simplified,酱
醱,Simplified,酦
醲,Simplified,𬪩
醳,Simplified,𰼅
醶,Simplified,𫑷
醻,Semantic,酧
醻,Semantic,酬
釀,Simplified,酿
釁,Semantic,衅
釁,Simplified,衅
釃,Simplified,酾
釅,Simplified,酽
采,Simplified,采
采,Traditional,埰
采,Traditional,採
采,Traditional,采
释,Traditional,釋
釋,Simplified,释
里,Traditional,裡
野,Semantic,埜
釐,Semantic,厘
釐,Simplified,厘
金,Semantic,釒
釒,Semantic,金
釒,Simplified,钅
釓,Simplified,钆
釔,Simplified,钇
釕,Simplified,钌
釗,Simplified,钊
釘,Simplified,钉
釙,Simplified,钋
釚,Simplified,𫟲
釛,Simplified,𰽖
針,Semantic,箴
針,Semantic,鍼
針,Simplified,针
釟,Simplified,𫓥
釣,Simplified,钓
釤,Simplified,钐
釥,Simplified,𰽛
釦,Simplified,𬬪
釧,Simplified,钏
釨,Simplified,𫓦
釩,Simplified,钒
釪,Simplified,𰽗
釫,Simplified,𬬨
釬,Semantic,銲
釬,Simplified,𬬧
釭,Simplified,𮣲
釱,Simplified,𰽘
釲,Simplified,𫟳
釳,Simplified,𨰿
釴,Simplified,𬬩
釵,Simplified,钗
釵,SpecializedSemantic,叉
釷,Simplified,钍
釹,Simplified,钕
釺,Simplified,钎
釽,Simplified,𬬲
釾,Simplified,䥺
釿,Simplified,𬬱
鈀,Semantic,耙
鈀,Simplified,钯
鈁,Simplified,钫
鈂,Simplified,𬬵
鈃,Simplified,钘
鈄,Simplified,钭
鈆,Semantic,鉛
鈆,Simplified,𫓪
鈇,Simplified,𫓧
鈈,Simplified,钚
鈉,Simplified,钠
鈋,Simplified,𨱂
鈍,Simplified,钝
鈎,Semantic,鉤
鈎,Simplified,钩
鈏,Simplified,𰽣
鈐,Simplified,钤
鈑,Simplified,钣
鈒,Simplified,钑
鈓,Simplified,𬬯
鈔,Simplified,钞
鈕,Simplified,钮
鈖,Simplified,𫟴
鈗,Simplified,𫟵
鈚,Simplified,𬬫
鈛,Simplified,𫓨
鈜,Simplified,𮣳
鈞,Semantic,銁
鈞,Simplified,钧
鈠,Simplified,𨱁
鈣,Simplified,钙
鈤,Simplified,𰽡
鈥,Simplified,钬
鈦,Simplified,钛
鈧,Simplified,钪
鈪,Simplified,𰽞
鈮,Simplified,铌
鈯,Simplified,𨱄
鈰,Simplified,铈
鈲,Simplified,𨱃
鈳,Simplified,钶
鈴,Simplified,铃
鈵,Simplified,𰽥
鈶,Simplified,𬭀
鈷,Simplified,钴
鈸,Simplified,钹
鈹,Simplified,铍
鈺,Simplified,钰
鈼,Simplified,𬬽
鈽,Simplified,钸
鈾,Simplified,铀
鈿,Simplified,钿
鉀,Simplified,钾
鉁,Simplified,𨱅
鉄,Semantic,鐵
鉄,Semantic,銕
鉅,Simplified,钜
鉆,Semantic,鉗
鉆,Semantic,鑽
鉈,Semantic,砣
鉈,Semantic,𥓿
鉈,Simplified,铊
鉉,Simplified,铉
鉊,Simplified,𬬿
鉋,Semantic,刨
鉋,Simplified,铇
鉌,Simplified,𰽬
鉍,Simplified,铋
鉎,Simplified,𰽫
鉏,Semantic,鋤
鉏,Simplified,𬬺
鉐,Simplified,𬬷
鉑,Simplified,铂
鉒,Simplified,𰽯
鉔,Simplified,𫓬
鉕,Simplified,钷
鉗,Semantic,鉆
鉗,Simplified,钳
鉘,Simplified,𰽱
鉙,Simplified,𰽨
鉚,Simplified,铆
鉛,Semantic,鈆
鉛,Simplified,铅
鉜,Simplified,𰽮
鉝,Simplified,𫟷
鉞,Semantic,戉
鉞,Simplified,钺
鉟,Simplified,𰽧
鉠,Simplified,𫓭
鉡,Simplified,𰽰
鉢,Semantic,缽
鉤,Semantic,鈎
鉤,Simplified,钩
鉤,Simplified,𰽭
鉥,Simplified,𬬸
鉦,Simplified,钲
鉧,Simplified,𬭁
鉨,Simplified,鿭
鉬,Simplified,钼
鉭,Simplified,钽
鉮,Simplified,𬬹
鉲,Simplified,𰽩
鉴,Traditional,鑒
鉵,Simplified,𰽶
鉶,Simplified,铏
鉷,Simplified,𫟹
鉸,Simplified,铰
鉹,Simplified,𰽹
鉺,Simplified,铒
鉻,Simplified,铬
鉼,Simplified,𰽼
鉽,Simplified,𫟸
鉾,Simplified,𫓴
鉿,Simplified,铪
銀,Simplified,银
銁,Semantic,鈞
銁,Simplified,𫓲
銂,Simplified,𫟻
銃,Simplified,铳
銅,Simplified,铜
銈,Simplified,𫓯
銊,Simplified,𫓰
銋,Simplified,𰽻
銍,Simplified,铚
銏,Simplified,𫟶
銑,Simplified,铣
銓,Simplified,铨
銔,Simplified,𬭃
銕,Semantic,鉄
銕,Semantic,鐵
銖,Simplified,铢
銗,Simplified,𬭅
銘,Simplified,铭
銙,Simplified,𰽴
銚,Simplified,铫
銛,Simplified,铦
銜,Semantic,㘅
銜,Simplified,衔
銠,Simplified,铑
銡,Simplified,𰽲
銣,Simplified,铷
銥,Simplified,铱
銦,Simplified,铟
銧,Simplified,𰽵
銨,Simplified,铵
銩,Simplified,铥
銪,Simplified,铕
銫,Simplified,铯
銬,Simplified,铐
銮,Traditional,鑾
銱,Simplified,铞
銲,Semantic,釬
銲,Simplified,𬭍
銳,Simplified,锐
銳,Compat,鋭
銶,Simplified,𨱇
銷,Simplified,销
銸,Simplified,𰽿
銹,Semantic,鏽
銹,Simplified,锈
銻,Simplified,锑
銼,Simplified,锉
銼,SpecializedSemantic,剉
銾,Simplified,𰾁
鋁,Simplified,铝
鋂,Simplified,𰾄
鋃,Simplified,锒
鋅,Simplified,锌
鋇,Simplified,钡
鋉,Simplified,𨱈
鋊,Simplified,𰾆
鋋,Simplified,𮣴
鋌,Simplified,铤
鋍,Simplified,𰾀
鋏,Simplified,铗
鋐,Simplified,𬭎
鋑,Semantic,鐫
鋑,Semantic,鑴
鋒,Simplified,锋
鋗,Simplified,𫓶
鋘,Simplified,𬭌
鋙,Simplified,铻
鋜,Simplified,𰾃
鋝,Simplified,锊
鋟,Simplified,锓
鋠,Simplified,𫓵
鋡,Simplified,𰾅
鋣,Simplified,铘
鋤,Semantic,鉏
鋤,Simplified,锄
鋥,Simplified,锃
鋦,Simplified,锔
鋧,Simplified,𰽢
鋨,Simplified,锇
鋩,Simplified,铓
鋪,Semantic,舖
鋪,Simplified,铺
鋪,SpecializedSemantic,舖
鋭,Compat,銳
鋮,Simplified,铖
鋯,Simplified,锆
鋰,Simplified,锂
鋱,Simplified,铽
鋶,Simplified,锍
鋸,Simplified,锯
鋹,Simplified,𬬮
鋼,Simplified,钢
鋾,Simplified,𰾏
錀,Simplified,𬬭
錁,Simplified,锞
錂,Simplified,𨱋
錄,Simplified,录
錆,Simplified,锖
錇,Simplified,锫
錈,Simplified,锩
錋,Simplified,𬭖
錍,Simplified,𰾎
錏,Simplified,铔
錐,Simplified,锥
錑,Simplified,𬭜
錒,Simplified,锕
錔,Simplified,𰾓
錕,Simplified,锟
錗,Simplified,𬭗
錘,Semantic,鎚
錘,Simplified,锤
錙,Simplified,锱
錚,Simplified,铮
錛,Simplified,锛
錜,Simplified,𫓻
錝,Simplified,𫓽
錞,Simplified,𬭚
錟,Simplified,锬
錠,Simplified,锭
錡,Simplified,锜
錢,Semantic,𫢊
錢,Simplified,钱
錣,Simplified,𮣵
錤,Simplified,𫓹
錥,Simplified,𫓾
錦,Simplified,锦
錧,Simplified,𰾒
錨,Simplified,锚
錩,Simplified,锠
錪,Simplified,𬭓
錫,Simplified,锡
錭,Simplified,𬭕
錮,Simplified,锢
錯,Simplified,错
錳,Simplified,锰
錶,Simplified,表
錶,Simplified,𰾍
錸,Simplified,铼
錽,Simplified,𫓸
錾,Traditional,鏨
鍀,Simplified,锝
鍁,Simplified,锨
鍂,Simplified,𰾑
鍃,Simplified,锪
鍄,Simplified,𨱉
鍆,Simplified,钔
鍇,Simplified,锴
鍈,Simplified,锳
鍉,Semantic,匙
鍉,Simplified,𫔂
鍊,Simplified,𫔀
鍋,Simplified,锅
鍍,Simplified,镀
鍏,Simplified,𬬬
鍐,Simplified,𰾞
鍑,Simplified,𰾟
鍒,Simplified,𫔄
鍔,Simplified,锷
鍖,Simplified,𰾘
鍘,Simplified,铡
鍚,Simplified,钖
鍛,Semantic,煅
鍛,Simplified,锻
鍜,Semantic,煆
鍜,Simplified,𰾤
鍝,Simplified,𰾙
鍟,Simplified,𰾝
鍠,Simplified,锽
鍡,Simplified,𰾚
鍣,Simplified,𬭡
鍤,Simplified,锸
鍥,Simplified,锲
鍦,Simplified,𰾢
鍧,Simplified,𰾡
鍨,Simplified,𰾥
鍩,Simplified,锘
鍫,Semantic,鍬
鍬,Semantic,鍫
鍬,Simplified,锹
鍭,Simplified,𬭤
鍮,Simplified,𨱎
鍯,Simplified,𬭥
鍰,Semantic,鐶
鍰,Simplified,锾
鍱,Simplified,𰾕
鍴,Simplified,𰾜
鍵,Simplified,键
鍶,Simplified,锶
鍺,Simplified,锗
鍼,Semantic,箴
鍼,Semantic,針
鍼,Simplified,𰾗
鍾,Simplified,钟
鍾,Simplified,锺
鎂,Simplified,镁
鎄,Simplified,锿
鎅,Simplified,𰾛
鎇,Simplified,镅
鎈,Simplified,𫟿
鎉,Simplified,𰾬
鎊,Simplified,镑
鎋,Semantic,轄
鎋,Simplified,𬭪
鎌,Semantic,鐮
鎌,Simplified,𰾮
鎍,Simplified,𫔅
鎏,Semantic,鏐
鎑,Simplified,𰾩
鎒,Semantic,耨
鎒,Simplified,𬭦
鎓,Simplified,𬭩
鎔,Semantic,熔
鎔,Simplified,镕
鎕,Simplified,𰾯
鎖,Semantic,鏁
鎖,Semantic,鎻
鎖,Simplified,锁
鎗,Simplified,𬬰
鎘,Simplified,镉
鎙,Semantic,槊
鎙,Simplified,𫔈
鎚,Semantic,錘
鎚,Simplified,𬭨
鎛,Simplified,镈
鎝,Simplified,𨱏
鎞,Simplified,𫔇
鎡,Simplified,镃
鎢,Simplified,钨
鎣,Simplified,蓥
鎦,Simplified,镏
鎧,Simplified,铠
鎩,Simplified,铩
鎪,Simplified,锼
鎬,Simplified,镐
鎭,Compat,鎮
鎮,Simplified,镇
鎮,Compat,鎭
鎯,Simplified,𨱍
鎰,Simplified,镒
鎲,Simplified,镋
鎳,Simplified,镍
鎵,Simplified,镓
鎶,Simplified,鿔
鎷,Simplified,𨰾
鎻,Semantic,鎖
鎿,Simplified,镎
鏁,Semantic,鎖
鏁,Simplified,𬭲
鏂,Simplified,𰽜
鏃,Simplified,镞
鏆,Simplified,𨱌
鏇,Simplified,旋
鏇,Simplified,镟
鏈,Simplified,链
鏉,Simplified,𨱒
鏌,Simplified,镆
鏍,Simplified,镙
鏏,Simplified,𬭬
鏐,Semantic,鎏
鏐,Simplified,镠
鏑,Simplified,镝
鏒,Simplified,𬭝
鏓,Simplified,𰾱
鏔,Simplified,𬭰
鏕,Simplified,𰾲
鏗,Simplified,铿
鏘,Simplified,锵
鏙,Simplified,𰾰
鏚,Simplified,𬭭
鏜,Simplified,镗
鏝,Simplified,镘
鏞,Simplified,镛
鏟,Simplified,铲
鏡,Simplified,镜
鏢,Semantic,鑣
鏢,Simplified,镖
鏤,Simplified,镂
鏥,Semantic,銹
鏥,Semantic,鏽
鏥,Simplified,𫔊
鏦,Simplified,𫓩
鏨,Simplified,錾
鏩,Simplified,𰾌
鏰,Semantic,斆
鏰,Simplified,镚
鏵,Simplified,铧
鏷,Simplified,镤
鏸,Simplified,𰾶
鏹,Simplified,镪
鏺,Simplified,䥽
鏻,Simplified,𬭸
鏽,Semantic,銹
鏽,Simplified,锈
鏾,Semantic,𠜎
鏾,Simplified,𫔌
鐀,Semantic,匱
鐀,Semantic,櫃
鐀,Simplified,𬭢
鐁,Simplified,𰾴
鐃,Simplified,铙
鐄,Simplified,𨱑
鐇,Simplified,𫔍
鐈,Simplified,𫓱
鐉,Simplified,𰾼
鐊,Simplified,𬭏
鐋,Simplified,铴
鐍,Simplified,𫔎
鐎,Simplified,𨱓
鐏,Simplified,𨱔
鐐,Simplified,镣
鐒,Simplified,铹
鐓,Simplified,镦
鐔,Simplified,镡
鐕,Simplified,𰾷
鐖,Simplified,𰽕
鐘,Simplified,钟
鐙,Simplified,镫
鐚,Simplified,𰾪
鐝,Simplified,镢
鐠,Simplified,镨
鐤,Simplified,𰾸
鐥,Simplified,䦅
鐦,Simplified,锎
鐧,Simplified,锏
鐨,Simplified,镄
鐩,Simplified,𬭼
鐪,Simplified,𫓺
鐫,Semantic,鋑
鐫,Semantic,鑴
鐫,Simplified,镌
鐫,Simplified,𰾹
鐬,Simplified,𰽷
鐮,Semantic,鎌
鐮,Simplified,镰
鐯,Simplified,䦃
鐲,Simplified,镯
鐳,Simplified,镭
鐴,Simplified,𬭽
鐵,Semantic,鉄
鐵,Semantic,銕
鐵,Simplified,铁
鐶,Semantic,鍰
鐶,Simplified,镮
鐸,Simplified,铎
鐹,Simplified,𰽾
鐺,Simplified,铛
鐼,Simplified,𫔁
鐽,Simplified,𫟼
鐿,Simplified,镱
鑀,Simplified,𰾭
鑄,Simplified,铸
鑇,Simplified,𬭉
鑈,Simplified,鿭
鑉,Simplified,𫠁
鑊,Simplified,镬
鑋,Simplified,𰼻
鑌,Simplified,镔
鑏,Simplified,𬬾
鑐,Simplified,𰿂
鑑,Semantic,鑒
鑑,Simplified,𰾫
鑒,Semantic,鑑
鑒,Simplified,鉴
鑔,Simplified,镲
鑕,Simplified,锧
鑖,Simplified,𰿃
鑘,Simplified,𰿄
鑙,Simplified,𬭿
鑙,Spoofing,𨮺
鑚,Semantic,鑽
鑛,Semantic,礦
鑛,Simplified,𰽚
鑞,Simplified,镴
鑠,Simplified,铄
鑡,Simplified,𬭔
鑢,Semantic,䥨
鑢,Simplified,𮣶
鑣,Semantic,鏢
鑣,Simplified,镳
鑥,Simplified,镥
鑨,Simplified,𰽦
鑪,Simplified,𬬻
鑭,Simplified,镧
鑮,Simplified,𬮁
鑯,Simplified,𰿈
鑰,Simplified,钥
鑱,Simplified,镵
鑲,Simplified,镶
鑴,Semantic,鋑
鑴,Semantic,鐫
鑴,Simplified,𫔔
鑷,Simplified,镊
鑸,Simplified,𰿉
鑹,Simplified,镩
鑼,Simplified,锣
鑽,Semantic,鉆
鑽,Semantic,鑚
鑽,Simplified,钻
鑽,Simplified,𰿆
鑾,Simplified,銮
鑿,Simplified,凿
钀,Simplified,𰾾
钁,Simplified,䦆
钃,Simplified,𰾽
钅,Traditional,釒
钆,Traditional,釓
钇,Traditional,釔
针,Traditional,針
钉,Traditional,釘
钊,Traditional,釗
钋,Traditional,釙
钌,Traditional,釕
钍,Traditional,釷
钎,Traditional,釺
钏,Traditional,釧
钐,Traditional,釤
钑,Traditional,鈒
钒,Traditional,釩
钓,Traditional,釣
钔,Traditional,鍆
钕,Traditional,釹
钖,Traditional,鍚
钗,Traditional,釵
钘,Traditional,鈃
钙,Traditional,鈣
钚,Traditional,鈈
钛,Traditional,鈦
钜,Traditional,鉅
钝,Traditional,鈍
钞,Traditional,鈔
钟,Traditional,鍾
钟,Traditional,鐘
钠,Traditional,鈉
钡,Traditional,鋇
钢,Traditional,鋼
钣,Traditional,鈑
钤,Traditional,鈐
钥,Traditional,鑰
钦,Traditional,欽
钧,Traditional,鈞
钨,Traditional,鎢
钩,Traditional,鈎
钩,Traditional,鉤
钪,Traditional,鈧
钫,Traditional,鈁
钬,Traditional,鈥
钭,Traditional,鈄
钮,Traditional,鈕
钯,Traditional,鈀
钰,Traditional,鈺
钱,Traditional,錢
钲,Traditional,鉦
钳,Traditional,鉗
钴,Traditional,鈷
钵,Traditional,缽
钶,Traditional,鈳
钷,Traditional,鉕
钸,Traditional,鈽
钹,Traditional,鈸
钺,Traditional,鉞
钻,Traditional,鑽
钼,Traditional,鉬
钽,Traditional,鉭
钾,Traditional,鉀
钿,Traditional,鈿
铀,Traditional,鈾
铁,Traditional,鐵
铂,Traditional,鉑
铃,Traditional,鈴
铄,Traditional,鑠
铅,Traditional,鉛
铆,Traditional,鉚
铇,Traditional,鉋
铈,Traditional,鈰
铉,Traditional,鉉
铊,Traditional,鉈
铋,Traditional,鉍
铌,Traditional,鈮
铍,Traditional,鈹
铎,Traditional,鐸
铏,Traditional,鉶
铐,Traditional,銬
铑,Traditional,銠
铒,Traditional,鉺
铓,Traditional,鋩
铔,Traditional,錏
铕,Traditional,銪
铖,Traditional,鋮
铗,Traditional,鋏
铘,Traditional,鋣
铙,Traditional,鐃
铚,Traditional,銍
铛,Traditional,鐺
铜,Traditional,銅
铝,Traditional,鋁
铞,Traditional,銱
铟,Traditional,銦
铠,Traditional,鎧
铡,Traditional,鍘
铢,Traditional,銖
铣,Traditional,銑
铤,Traditional,鋌
铥,Traditional,銩
铦,Traditional,銛
铧,Traditional,鏵
铨,Traditional,銓
铩,Traditional,鎩
铪,Traditional,鉿
铫,Traditional,銚
铬,Traditional,鉻
铭,Traditional,銘
铮,Traditional,錚
铯,Traditional,銫
铰,Traditional,鉸
铱,Traditional,銥
铲,Traditional,鏟
铳,Traditional,銃
铴,Traditional,鐋
铵,Traditional,銨
银,Traditional,銀
铷,Traditional,銣
铸,Traditional,鑄
铹,Traditional,鐒
铺,Traditional,鋪
铻,Traditional,鋙
铼,Traditional,錸
铽,Traditional,鋱
链,Traditional,鏈
铿,Traditional,鏗
销,Traditional,銷
锁,Traditional,鎖
锂,Traditional,鋰
锃,Traditional,鋥
锄,Traditional,鋤
锅,Traditional,鍋
锆,Traditional,鋯
锇,Traditional,鋨
锈,Traditional,銹
锈,Traditional,鏽
锉,Traditional,銼
